File Name,Number,Name,Color Code,Color Name,Latitude,Longitude
228-2500-080.dat,228-2500-080,2p Capped Plastic Shaft,0,Black,90,0
228-2500-078.dat,228-2500-078,2p Plastic Motor Shaft,0,Black,90,0
228-2500-074.dat,228-2500-074,2p Plastic Shaft,0,Black,90,0
228-2500-143-v2.dat,228-2500-143,Rubber Shaft Collar,256,Black Rubber,30,30
228-2500-121.dat,228-2500-121,4p metal shaft,80,Metal,90,0
228-2500-125.dat,228-2500-125,Shaft Bushing,0,Black,90,0
228-2500-112.dat,228-2500-112,Washer,0,Black,45,45
228-2500-114.dat,228-2500-114,0.25p Spacer,0,Black,45,45
228-2500-084.dat,228-2500-084,0x2 Idler Pin,7,Light Gray,90,0
228-2500-073.dat,228-2500-073,1x1 Idler Pin,7,Light Gray,90,0
228-2500-134-v2.dat,228-2500-134,"2x Wide, 2x2 Corner Connector",0,Black,0,0
228-2500-220-v2.dat,228-2500-220,"Double 2x Wide, 2x2 Corner Connector",0,Black,0,0
228-2500-130-v2.dat,228-2500-130,"1x Wide, 1x1 Offset Corner Connector",0,Black,0,0
228-2500-133-v2.dat,228-2500-133,"2x Wide, 1x1 Offset Corner Connector",0,Black,0,0
228-2500-131-v2.dat,228-2500-131,"2x Wide, 2x1 Offset Corner Connector",0,Black,0,0
228-2500-132-v2.dat,228-2500-132,"2x Wide, 2x1 Corner Connector",0,Black,0,0
228-2500-126-v2.dat,228-2500-126,Large Chassis Corner Connector,0,Black,0,0
228-2500-127-v2.dat,228-2500-127,Small Chassis Corner Connector,0,Black,0,0
228-2500-134-v2.dat,228-2500-134,"2x Wide, 2x2 Corner Connector",0,Black,0,0
228-2500-135-v2.dat,228-2500-135,"2x Wide, 1x2 Offset Corner Connector",0,Black,0,0
228-2500-070a.dat,228-2500-070,4p Standoff,0,Black,90,0
228-2500-170.dat,228-2500-170,Mini Standoff Connector,72,Dark Gray,90,0
228-2500-172.dat,228-2500-172,Straight Standoff Connector,72,Dark Gray,90,0
228-2500-060.dat,228-2500-060,1x1 Pin,73,Blue,90,0
228-2500-061.dat,228-2500-061,1x2 Pin,73,Blue,90,0
228-2500-062.dat,228-2500-062,2x2 Pin,73,Blue,90,0
228-2500-128-v2.dat,228-2500-128,"2x Wide, 1x2 Corner Connector",0,Black,0,0
228-2560.dat,228-2560,Smart Motor,72,Dark Gray,0,90